hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,has_reviews,room_Hotel room,room_Private room,room_Shared room,nbhd_Bourse,nbhd_Buttes-Chaumont,nbhd_Buttes-Montmartre,nbhd_Entrepôt,nbhd_Gobelins,nbhd_Hôtel-de-Ville,nbhd_Louvre,nbhd_Luxembourg,nbhd_Ménilmontant,nbhd_Observatoire,nbhd_Opéra,nbhd_Palais-Bourbon,nbhd_Panthéon,nbhd_Passy,nbhd_Popincourt,nbhd_Reuilly,nbhd_Temple,nbhd_Vaugirard,nbhd_Élysée,amenity_count,has_wifi,has_kitchen,has_ac
8.0,10.0,7.0,2.0,1.0,14.0,1.0,1.0,48.89408,2.3383,-0.5,0.0,0.0,-1.0,9.333333333333334,1.1094890510948905,30,30,1125,1125,30.0,1125.0,1.0,0,10,40,0.4933920704845815,-0.11627906976744186,2,0,145,4,120,6524.0,5.0,4.89,5.0,4.67,4.89,4.78,4.56,0.0,13,11,2,0,-0.31972789115646255,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10526315789473684,True,True,False
8.0,2.0,8.0,2.0,0.0,2.0,1.0,1.0,48.87524753516001,2.3169401649414247,0.5,0.5,1.0,-1.0,0.3333333333333333,0.0,3,4,365,365,4.0,365.0,1.0,3,15,15,-0.8281938325991189,-0.046511627906976744,8,0,15,8,83,25398.0,4.75,4.58,4.67,5.0,4.67,4.83,4.58,0.0,2,2,0,0,-0.0748299319727891,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3157894736842105,True,True,False
4.0,6.0,2.0,5.0,0.0,1.0,1.0,1.0,48.865825703511376,2.3438854436743086,0.5,0.0,0.0,-1.0,9.333333333333334,-0.43795620437956206,30,30,65,65,30.0,65.0,1.0,29,59,89,0.2907488986784141,-0.32558139534883723,0,0,197,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,-0.4285714285714285,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.263157894736842,True,True,False
2.0,6.0,2.0,6.0,0.0,142.0,1.0,1.0,48.8826745,2.335484,0.5,0.0,0.0,0.0,19.333333333333332,0.34306569343065696,60,90,600,600,88.8,600.0,1.0,26,56,61,0.1894273127753304,-0.20930232558139536,0,0,70,1,0,0.0,4.6,4.8,5.0,4.4,4.4,4.6,4.2,0.0,116,116,0,0,-0.346938775510204,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5263157894736842,True,True,False
11.0,1.0,9.0,9.0,0.0,1.0,1.0,1.0,48.868110231208654,2.352332395191054,-0.5,0.0,0.0,-1.0,9.333333333333334,0.0,30,30,365,365,30.0,365.0,1.0,18,47,77,0.6563876651982379,-0.3023255813953488,1,0,184,1,60,4978.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1,1,0,0,-0.36734693877551017,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7368421052631579,True,True,False
8.0,11.0,2.0,0.0,0.0,1.0,1.0,1.0,48.86958843748893,2.354732895208095,-0.5,0.0,0.0,-1.0,0.3333333333333333,-0.40145985401459855,3,3,90,90,3.0,90.0,1.0,3,3,3,-0.8810572687224669,0.023255813953488372,9,0,3,9,94,10747.0,4.6,4.73,4.2,4.8,4.87,4.87,4.6,0.0,1,1,0,0,0.04761904761904758,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.263157894736842,True,True,False
13.0,5.0,13.0,0.0,1.0,2.0,1.0,1.0,48.8851304,2.3365483,-0.5,0.0,0.0,-1.0,0.0,0.0,2,2,365,365,2.0,365.0,1.0,17,45,74,0.5991189427312775,1.3255813953488371,11,2,172,17,114,35126.0,4.96,4.94,4.96,4.99,4.99,5.0,4.87,0.0,1,1,0,0,0.6530612244897959,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6842105263157895,True,True,False
3.0,8.0,3.0,8.0,0.0,1.0,1.0,1.0,48.84600101048065,2.371803665377912,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,1,3,365,365,2.0,365.0,1.0,0,7,17,-0.73568281938326,0.7441860465116279,46,7,32,0,255,24735.0,4.61,4.61,4.48,4.89,4.83,4.8,4.57,0.0,1,0,1,0,5.333333333333333,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.42105263157894735,False,True,True
6.0,10.0,5.0,10.0,0.0,2.0,1.0,1.0,48.89484,2.32114,-1.0,0.0,0.0,-1.0,-0.3333333333333333,1.1094890510948905,1,1,1125,1125,1.0,1125.0,1.0,6,36,66,-0.5903083700440529,2.511627906976744,16,0,69,20,166,9960.0,4.29,4.39,4.21,4.52,4.38,4.38,4.28,0.0,2,0,2,0,1.3265306122448979,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.3157894736842105,True,True,False
2.0,3.0,0.0,6.0,0.0,2.0,1.0,1.0,48.875646358846,2.4032485485076904,0.5,0.0,0.0,-1.0,-0.3333333333333333,0.0,1,2,365,365,2.0,365.0,1.0,19,49,79,0.6651982378854625,-0.23255813953488372,4,1,185,0,42,8904.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0.0,1,1,0,0,0.6598639455782312,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.5263157894736842,True,True,True
